Repeat,Outer_Seed,Config,Top_K,Penalty,Class_Weight,C,Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,Balanced_Accuracy,F1,AUC
11,11042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.26499999999999996,0.8181818181817438,0.47619047619045357,0.44999999999997753,0.8333333333332639,0.59375,0.6471861471861472,0.5806451612903226,0.7445887445887446
11,11042,C_Top300_L2_none,300,l2,None,0.1,0.285,0.8181818181817438,0.5238095238094989,0.4736842105262909,0.8461538461537811,0.625,0.670995670995671,0.6,0.7575757575757577
12,12042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.6849999999999999,0.5454545454544959,0.9047619047618618,0.7499999999999063,0.7916666666666338,0.78125,0.725108225108225,0.631578947368421,0.8614718614718615
12,12042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.5449999999999999,0.5454545454544959,0.9047619047618618,0.7499999999999063,0.7916666666666338,0.78125,0.725108225108225,0.631578947368421,0.8614718614718615
12,12042,C_Top300_L2_none,300,l2,None,0.1,0.4599999999999999,0.5454545454544959,0.8571428571428164,0.6666666666665926,0.78260869565214,0.75,0.7012987012987013,0.6,0.8571428571428571
13,13042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.5399999999999999,0.5454545454544959,0.809523809523771,0.59999999999994,0.7727272727272376,0.71875,0.6774891774891775,0.5714285714285714,0.8225108225108225
13,13042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.5149999999999999,0.6363636363635785,0.809523809523771,0.6363636363635785,0.809523809523771,0.75,0.722943722943723,0.6363636363636364,0.8441558441558441
13,13042,C_Top300_L2_none,300,l2,None,0.1,0.31499999999999995,0.8181818181817438,0.7619047619047257,0.6428571428570969,0.8888888888888395,0.78125,0.7900432900432901,0.72,0.8398268398268398
14,14042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.5149999999999999,0.6363636363635785,0.666666666666635,0.4999999999999643,0.7777777777777346,0.65625,0.6515151515151515,0.56,0.7272727272727273
14,14042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.44499999999999995,0.8181818181817438,0.5238095238094989,0.4736842105262909,0.8461538461537811,0.625,0.670995670995671,0.6,0.7316017316017316
14,14042,C_Top300_L2_none,300,l2,None,0.1,0.4799999999999999,0.6363636363635785,0.6190476190475896,0.46666666666663553,0.7647058823528963,0.625,0.6277056277056277,0.5384615384615384,0.7272727272727273
15,15042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.585,0.45454545454541323,0.6190476190475896,0.38461538461535505,0.6842105263157535,0.5625,0.5367965367965368,0.4166666666666667,0.6926406926406927
15,15042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.5199999999999999,0.5454545454544959,0.5714285714285443,0.3999999999999733,0.705882352941135,0.5625,0.5584415584415584,0.46153846153846156,0.632034632034632
15,15042,C_Top300_L2_none,300,l2,None,0.1,0.4149999999999999,0.6363636363635785,0.5238095238094989,0.4117647058823288,0.7333333333332844,0.5625,0.5800865800865801,0.5,0.6623376623376623
16,16042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.5249999999999999,0.6363636363635785,0.7142857142856803,0.538461538461497,0.7894736842104848,0.6875,0.6753246753246753,0.5833333333333334,0.7965367965367965
16,16042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.27499999999999997,0.8181818181817438,0.666666666666635,0.5624999999999649,0.8749999999999454,0.71875,0.7424242424242424,0.6666666666666666,0.8311688311688312
16,16042,C_Top300_L2_none,300,l2,None,0.1,0.32999999999999996,0.8181818181817438,0.7142857142856803,0.59999999999996,0.8823529411764188,0.75,0.7662337662337663,0.6923076923076923,0.8311688311688312
17,17042,A_Top200_L2_balanced,200,l2,balanced,0.1,0.43999999999999995,0.7272727272726611,0.6190476190475896,0.4999999999999688,0.8124999999999493,0.65625,0.6731601731601732,0.5925925925925926,0.7878787878787878
17,17042,B_Top250_L2_balanced,250,l2,balanced,0.1,0.4649999999999999,0.8181818181817438,0.5714285714285443,0.49999999999997224,0.8571428571427959,0.65625,0.6948051948051948,0.6206896551724138,0.8398268398268398
