VOC_Index,VOC_Name,Selection_Freq,Soft_Mean,Soft_Std,Soft_SEM
128,442_2-Cyclohexen-1-one                                                                                                         ,0.53,0.4953974,0.15611531,0.01561153084039688
129,"449_Cyclohexane, 1,3-dimethyl-                                                                                                 ",0.62,0.55002886,0.1749394,0.017493939399719237
130,"451_2-Heptanone, 4-methyl-                                                                                                     ",0.53,0.4929564,0.16819556,0.016819556057453156
131,462_(-)-trans-Pinane                                                                                                           ,0.51,0.49448436,0.18370624,0.018370623886585235
132,465_3-Ethyl-4-methylpentan-1-ol                                                                                                ,0.53,0.5133926,0.17340286,0.017340286076068877
133,"466_Hexanal, 3,3-dimethyl-                                                                                                     ",0.47,0.50898063,0.15129097,0.015129096806049347
134,"471_Hexanal, 2-ethyl-                                                                                                          ",0.65,0.54952693,0.15333879,0.015333878993988036
135,"473_Benzoic acid, 2-formyl-4,6-dimethoxy-, 8,8-dimethoxyoct-2-yl ester                                                         ",0.54,0.4953942,0.14973405,0.014973405003547668
136,"474_2-Heptenal, (Z)-                                                                                                           ",0.58,0.53769034,0.18703896,0.018703895807266235
137,479_3-Ethylcyclopentanone                                                                                                      ,0.48,0.49568337,0.17664124,0.017664124071598054
138,"480_Benzene, 1,1'-(1-methyl-1,2-ethanediyl)bis-                                                                                ",0.43,0.46675187,0.15037367,0.01503736674785614
139,"483_2H-Pyran-3,4,5-triol, tetrahydro-2-methoxy-6-methyl-                                                                       ",0.41,0.47233045,0.16000897,0.016000896692276
140,"485_Nonane, 4-methyl-                                                                                                          ",0.44,0.47373745,0.18381785,0.018381784856319427
141,"488_Tridecane, 6-methyl-                                                                                                       ",0.55,0.51585966,0.16946065,0.016946065425872802
142,"492_Pentadecane, 6-methyl-                                                                                                     ",0.49,0.50163805,0.17934783,0.017934782803058623
143,"495_Ethanol, 2,2'-oxybis-                                                                                                      ",0.46,0.49662614,0.15085496,0.015085496008396149
144,496_(E)1-Allyl-2-methylcyclohexanol                                                                                            ,0.6,0.5419243,0.1637695,0.016376949846744537
145,"497_4-Octanol, 2-methyl-                                                                                                       ",0.52,0.50179356,0.17936474,0.017936474084854125
146,500_Dibutylsulfamic acid                                                                                                       ,0.51,0.5076602,0.18400818,0.01840081810951233
147,"501_5-Ethyl-2,4-nonandione                                                                                                     ",0.41,0.48164386,0.1619323,0.01619323045015335
148,"502_Oxalic acid, butyl 2-ethylhexyl ester                                                                                      ",0.53,0.51900977,0.1839095,0.018390950560569764
149,503_5-Nonanol                                                                                                                  ,0.46,0.49390888,0.16524988,0.016524988412857055
150,"507_Formic acid, heptyl ester                                                                                                  ",0.43,0.47882247,0.17094767,0.017094767093658446
151,"509_Decane, 3,8-dimethyl-                                                                                                      ",0.47,0.48041713,0.1714838,0.017148379981517792
152,516_1-Decen-3-one                                                                                                              ,0.4,0.48231354,0.17311482,0.01731148213148117
153,523_Benzonitrile                                                                                                               ,0.49,0.5091458,0.17110127,0.017110127210617065
154,"524_3-Pentenoic acid, 4-methyl-                                                                                                ",0.51,0.49673095,0.16672005,0.016672004759311677
155,525_1-Octen-3-ol                                                                                                               ,0.38,0.4667527,0.16123128,0.016123127937316895
156,"527_Dodecane, 2,2,11,11-tetramethyl-                                                                                           ",0.51,0.5107147,0.1773091,0.017730909585952758
157,528_Phenol                                                                                                                     ,0.47,0.49949622,0.15532407,0.015532407164573669
158,"536_Propanoic acid, 2,2-dimethyl-, cesium salt                                                                                 ",0.41,0.4787678,0.16537888,0.016537888348102568
159,537_Hexanoic acid                                                                                                              ,0.49,0.48635665,0.16676763,0.016676762700080873
160,"538_Cyclotetrasiloxane, octamethyl-                                                                                            ",0.44,0.4602042,0.16968402,0.01696840226650238
161,544_2-Octanone                                                                                                                 ,0.57,0.5101626,0.18389083,0.018389083445072174
162,"546_Benzene, 1,2,3-trimethyl-                                                                                                  ",0.5,0.49369732,0.15166141,0.015166141092777252
163,548_4-Octanol                                                                                                                  ,0.54,0.49144948,0.17815985,0.017815984785556793
164,"551_2-Methyl-1,6-dioxaspiro[4.4]nonane                                                                                         ",0.59,0.5161683,0.17267056,0.017267055809497833
165,565_Propanenitrile                                                                                                             ,0.5,0.5061304,0.17657004,0.017657004296779633
166,567_Decane                                                                                                                     ,0.55,0.5069252,0.17729118,0.01772911846637726
167,569_Octanal                                                                                                                    ,0.49,0.49465877,0.19339728,0.019339728355407714
168,"571_Ethanol, 2-(2-ethoxyethoxy)-                                                                                               ",0.41,0.46590835,0.15447974,0.01544797420501709
169,"574_2-Octanol, (S)-                                                                                                            ",0.48,0.48423594,0.17136985,0.017136985063552858
170,"575_Cyclopentene, 1,4-dimethyl-5-(1-methylethyl)-                                                                              ",0.51,0.4890343,0.17178333,0.017178332805633544
171,"582_Butane, 1,1'-[oxybis(2,1-ethanediyloxy)]bis-                                                                               ",0.45,0.4829472,0.16309199,0.01630919873714447
172,"586_Benzene, 1,2,4-trimethyl-                                                                                                  ",0.49,0.5026381,0.17202832,0.01720283180475235
173,"588_Propanenitrile, 2,2'-azobis[2-methyl-                                                                                      ",0.59,0.5362886,0.1798707,0.017987069487571717
174,"590_2-Propanol, 1-(2-ethoxypropoxy)-                                                                                           ",0.49,0.5133007,0.17825496,0.017825496196746827
175,"591_Silane, triethylfluoro-                                                                                                    ",0.52,0.5037277,0.16391793,0.01639179289340973
176,592_Tetramethylbutanedinitrile                                                                                                 ,0.57,0.52425295,0.16737348,0.016737347841262816
177,"596_Octane, 3,3-dimethyl-                                                                                                      ",0.36,0.4496712,0.18225642,0.018225641548633577
178,605_D-Limonene                                                                                                                 ,0.46,0.48019317,0.15579401,0.015579400956630707
179,"607_Cyclohexene, 4-methyl-1-(1-methylethyl)-                                                                                   ",0.5,0.5119899,0.16049351,0.016049350798130035
180,608_2-Propyl-1-pentanol                                                                                                        ,0.52,0.4932331,0.16772291,0.01677229106426239
181,"614_Butanedioic acid, dimethyl ester                                                                                           ",0.59,0.54447263,0.1850753,0.01850752979516983
182,619_1-(1'-pyrrolidinyl)-2-butanone                                                                                             ,0.42,0.47689274,0.16319878,0.0163198783993721
183,"620_1,3,2-Dioxaborolane, 2,4-diethyl-                                                                                          ",0.5,0.49578044,0.16165961,0.01616596132516861
184,621_Benzyl alcohol                                                                                                             ,0.4,0.46819827,0.17870237,0.017870236933231354
185,"623_3-Benzofurancarboxaldehyde, 2,3-dihydro-3-methyl-                                                                          ",0.55,0.5269207,0.17897724,0.017897723615169524
186,"624_Cyclopropanecarboxylic acid,4-methylpentyl ester                                                                           ",0.58,0.5221635,0.17243813,0.01724381297826767
187,"626_3,5-Octadien-2-ol                                                                                                          ",0.48,0.49792042,0.18196867,0.018196867406368257
188,627_3-Ethyl-3-heptanol                                                                                                         ,0.52,0.49967504,0.17658754,0.01765875369310379
189,"629_Benzaldehyde, 2-hydroxy-                                                                                                   ",0.57,0.51778555,0.15527387,0.015527386963367463
190,"635_2,4,6-Cycloheptatrien-1-one, 4-methyl-                                                                                     ",0.49,0.506493,0.18088946,0.018088945746421815
191,"636_2-Propenoic acid, 2-methyl-, 2-hydroxypropyl ester                                                                         ",0.45,0.48281628,0.14920081,0.014920081198215484
192,"637_4,4'-Bi-1,3,2-dioxaborolane, 2,2'-diethyl-                                                                                 ",0.51,0.48587096,0.15223686,0.015223686397075654
193,"640_1-Hexanol, 3,5,5-trimethyl-                                                                                                ",0.4,0.4804788,0.1698219,0.016982190310955048
194,"645_Nonane, 5-methyl-5-propyl-                                                                                                 ",0.45,0.49609923,0.16348296,0.01634829640388489
195,"648_Succinic acid, tridec-2-yn-1-yl 3-methylbut-3-en-1-yl ester                                                                ",0.5,0.50163275,0.16029102,0.016029101610183717
196,"649_2(3H)-Furanone, 5-ethyldihydro-                                                                                            ",0.51,0.5055921,0.18290283,0.018290282785892488
197,"650_1,2,4,5-Tetrazine, 1,4-dibutylhexahydro-                                                                                   ",0.46,0.47240677,0.16336432,0.016336432099342345
198,"654_Pentanal, 5-[(tetrahydro-2H-pyran-2-yl)oxy]-                                                                               ",0.5,0.49446973,0.17585641,0.017585641145706175
199,"656_2-Octenal, (E)-                                                                                                            ",0.52,0.49975887,0.16022941,0.016022941470146178
200,"663_2,5-Hexanediol, 2,5-dimethyl-                                                                                              ",0.4,0.46920776,0.17463633,0.017463633418083192
201,668_Phenylglyoxal                                                                                                              ,0.47,0.4999267,0.17750312,0.01775031238794327
202,"670_Aniline, N-methyl-                                                                                                         ",0.52,0.5178168,0.17307056,0.017307056486606597
203,672_Acetophenone                                                                                                               ,0.44,0.4732479,0.16286023,0.01628602296113968
204,675_Cyclooctyl alcohol                                                                                                         ,0.45,0.488461,0.165168,0.016516800224781036
205,"677_Decane, 3-methyl-                                                                                                          ",0.62,0.52064437,0.15539284,0.01553928405046463
206,"681_7-Octen-2-ol, 2,6-dimethyl-                                                                                                ",0.43,0.47294834,0.15346448,0.015346448123455047
207,"683_Formic acid, octyl ester                                                                                                   ",0.48,0.49604648,0.16226761,0.016226761043071747
208,684_Decyl octyl ether                                                                                                          ,0.48,0.49085653,0.15913996,0.01591399610042572
209,"688_Terephthalic acid, 2-methoxyethyl propyl ester                                                                             ",0.5,0.46528193,0.1692054,0.01692053973674774
210,"689_Arsenous acid, tris(trimethylsilyl) ester                                                                                  ",0.52,0.51132613,0.16944134,0.01694413423538208
211,"693_Hexane, 2,5-dimethoxy-2,5-dimethyl-                                                                                        ",0.46,0.49089277,0.15695682,0.015695682168006896
212,"696_Silicic acid, diethyl bis(trimethylsilyl) ester                                                                            ",0.51,0.5001377,0.1699355,0.01699354946613312
213,"697_Benzene, 2-ethyl-1,4-dimethyl-                                                                                             ",0.44,0.46551463,0.17965955,0.017965954542160035
214,"698_1,6-Dioxaspiro[4.4]nonane, 2-ethyl-                                                                                        ",0.47,0.47819078,0.1758963,0.01758963018655777
215,701_(+)-4-Carene                                                                                                               ,0.48,0.5006976,0.15974918,0.01597491800785065
216,703_Lethane                                                                                                                    ,0.5,0.49455547,0.16509801,0.016509801149368286
217,706_2-Butoxyethyl acetate                                                                                                      ,0.54,0.50548,0.14649598,0.014649598300457001
218,"709_4-Heptanol, 2,6-dimethyl-                                                                                                  ",0.42,0.47419587,0.16196384,0.016196383535861968
219,711_2-Nonanone                                                                                                                 ,0.46,0.48411542,0.16287902,0.016287901997566225
220,"714_Benzoic acid, methyl ester                                                                                                 ",0.48,0.4903714,0.16845039,0.016845038533210753
221,"717_1-Hexadecen-3-ol, 3,5,11,15-tetramethyl-                                                                                   ",0.43,0.47502276,0.16401769,0.01640176922082901
222,"719_Heptanal, 7,7-dimethoxy-                                                                                                   ",0.5,0.47962353,0.17005844,0.01700584441423416
223,720_Linalool                                                                                                                   ,0.42,0.49125153,0.16516519,0.016516518592834473
224,"728_2-Cyclohexen-1-one, 3,6-dimethyl-6-(1-methylethyl)-                                                                        ",0.52,0.47860825,0.17160429,0.017160429060459136
225,732_Nonanal                                                                                                                    ,0.49,0.48458833,0.1698781,0.01698780953884125
226,"741_Decane, 2,5-dimethyl-                                                                                                      ",0.51,0.49133494,0.16832156,0.01683215647935867
227,"743_Benzene, 1,3-dichloro-2-methyl-                                                                                            ",0.4,0.4543976,0.1661339,0.016613389551639556
228,749_Isophorone                                                                                                                 ,0.57,0.49525353,0.17385617,0.017385616898536682
229,"752_Hexanoic acid, 2-ethyl-                                                                                                    ",0.58,0.53648585,0.17186189,0.017186188697814943
230,"755_Undecane, 3,8-dimethyl-                                                                                                    ",0.46,0.4816879,0.16060798,0.016060797870159148
231,"771_1H-Indene, 2,3-dihydro-5-methyl-                                                                                           ",0.54,0.5232334,0.1526174,0.015261739492416382
232,"777_Cyclopentasiloxane, decamethyl-                                                                                            ",0.44,0.46831226,0.16617543,0.01661754250526428
233,"781_trans-1,2-Dimethylsilacyclohexane                                                                                          ",0.61,0.5124631,0.16687745,0.01668774485588074
234,"782_2,6-Dihydroxyacetophenone, 2TMS derivative                                                                                 ",0.43,0.461324,0.17647544,0.01764754354953766
235,"783_Cyclohexanol, 1-butyl-                                                                                                     ",0.48,0.49231866,0.16929731,0.016929730772972107
236,"784_1,1,3,3,5,5,7,7-Octamethyl-7-(2-methylpropoxy)tetrasiloxan-1-ol                                                            ",0.55,0.5242568,0.1646017,0.01646016985177994
