VOC_Index,VOC_Name,Selection_Freq,Soft_Mean,Soft_Std
379,"1302_Adipic acid, di(but-2-en-1-yl) ester                                                                                      ",0.51,0.5170347,0.1728663
199,"656_2-Octenal, (E)-                                                                                                            ",0.51,0.51614606,0.17964126
4,"11_Ethane, 1,2-dichloro-                                                                                                       ",0.51,0.5154023,0.16563956
48,148_Propanoic acid                                                                                                             ,0.51,0.51443934,0.14117518
324,1141_Diphenyl ether                                                                                                            ,0.51,0.5142149,0.17927976
89,"296_.beta.-D-Glucopyranose, 1,6-anhydro-                                                                                       ",0.51,0.513818,0.16505314
232,"777_Cyclopentasiloxane, decamethyl-                                                                                            ",0.51,0.51243037,0.18198963
401,"1392_1,3,5-Triazine-2,4,6(1H,3H,5H)-trione, 1,3,5-tri-2-propenyl-                                                              ",0.51,0.5123443,0.18239895
380,"1305_Hexadecane, 2,6,11,15-tetramethyl-                                                                                        ",0.51,0.51133627,0.18674599
268,"914_Pentasiloxane, dodecamethyl-                                                                                               ",0.51,0.5111449,0.17819984
151,"509_Decane, 3,8-dimethyl-                                                                                                      ",0.51,0.5103313,0.19109593
71,235_3-Nonen-5-one                                                                                                              ,0.51,0.5100806,0.17710748
31,"94_Cyclopentanemethanol, 3-methylene-                                                                                          ",0.51,0.5095556,0.19261573
99,337_2-Methoxythiophene                                                                                                         ,0.51,0.50937384,0.1671259
286,"1016_Benzothiazole, 2-methyl-                                                                                                  ",0.51,0.50866604,0.18128364
369,1257_Pentadecane                                                                                                               ,0.51,0.5081821,0.17816283
394,1353_Hexadecane                                                                                                                ,0.51,0.5069257,0.17639586
410,"1452_Silane, diethoxydiphenyl-                                                                                                 ",0.51,0.50203776,0.19334127
117,"387_2-Propenoic acid, butyl ester                                                                                              ",0.51,0.49869752,0.17797549
126,"425_Benzene, (1-methylethyl)-                                                                                                  ",0.51,0.4972607,0.18512166
56,"182_2,2,4,4-Tetramethyloctane                                                                                                  ",0.51,0.49712524,0.17822886
184,621_Benzyl alcohol                                                                                                             ,0.51,0.4970456,0.16832931
3,10_Benzene                                                                                                                     ,0.51,0.4969056,0.16909659
371,"1263_2,4-Di-tert-butylphenol                                                                                                   ",0.51,0.49572206,0.1736623
159,537_Hexanoic acid                                                                                                              ,0.51,0.49448168,0.18231249
143,"495_Ethanol, 2,2'-oxybis-                                                                                                      ",0.51,0.4933011,0.15308058
440,1700_Dotriacontane                                                                                                             ,0.51,0.492005,0.1732159
308,"1084_(1R,3aS,4aS,8aS)-1,4,4,6-Tetramethyl-1,2,3,3a,4,4a,7,8-octahydrocyclopenta[1,4]cyclobuta[1,2]benzene                      ",0.51,0.48978883,0.15910785
